Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,830.4299926757812,835.2999877929688,760.5599975585938,764.0399780273438,764.0399780273438,31752300
2022-02-24,700.3900146484375,802.47998046875,700.0,800.77001953125,800.77001953125,45107400
2022-02-25,809.22998046875,819.5,782.4000244140625,809.8699951171875,809.8699951171875,25355900
2022-02-28,815.010009765625,876.8599853515625,814.7100219726562,870.4299926757812,870.4299926757812,33002300
2022-03-01,869.6799926757812,889.8800048828125,853.780029296875,864.3699951171875,864.3699951171875,24922300
2022-03-02,872.1300048828125,886.47998046875,844.27001953125,879.8900146484375,879.8900146484375,24881100
2022-03-03,878.77001953125,886.4400024414062,832.5999755859375,839.2899780273438,839.2899780273438,20541200
2022-03-04,849.0999755859375,855.6500244140625,825.1599731445312,838.2899780273438,838.2899780273438,22333200
2022-03-07,856.2999877929688,866.1400146484375,804.5700073242188,804.5800170898438,804.5800170898438,24164700
2022-03-08,795.530029296875,849.989990234375,782.1699829101562,824.4000244140625,824.4000244140625,26799700
2022-03-09,839.47998046875,860.5599975585938,832.010009765625,858.969970703125,858.969970703125,19728000
2022-03-10,851.4500122070312,854.4500122070312,810.3599853515625,838.2999877929688,838.2999877929688,19549500
2022-03-11,840.2000122070312,843.7999877929688,793.77001953125,795.3499755859375,795.3499755859375,22345700
2022-03-14,780.6099853515625,800.7000122070312,756.0399780273438,766.3699951171875,766.3699951171875,23717400
2022-03-15,775.27001953125,805.5700073242188,756.5700073242188,801.8900146484375,801.8900146484375,22280400
2022-03-16,809.0,842.0,802.260009765625,840.22998046875,840.22998046875,28009600
2022-03-17,830.989990234375,875.0,825.719970703125,871.5999755859375,871.5999755859375,22194300
2022-03-18,874.489990234375,907.8499755859375,867.3900146484375,905.3900146484375,905.3900146484375,33471400
2022-03-21,914.97998046875,942.8499755859375,907.0900268554688,921.1599731445312,921.1599731445312,27327200
2022-03-22,930.0,997.8599853515625,921.75,993.97998046875,993.97998046875,35289500
2022-03-23,979.9400024414062,1040.699951171875,976.4000244140625,999.1099853515625,999.1099853515625,40225400
2022-03-24,1009.72998046875,1024.489990234375,988.7999877929688,1013.9199829101562,1013.9199829101562,22973600
2022-03-25,1008.0,1021.7999877929688,997.3200073242188,1010.6400146484375,1010.6400146484375,20677200
2022-03-28,1065.0999755859375,1097.8800048828125,1053.5999755859375,1091.8399658203125,1091.8399658203125,34168700
2022-03-29,1107.989990234375,1114.77001953125,1073.1099853515625,1099.5699462890625,1099.5699462890625,24538300
2022-03-30,1091.1700439453125,1113.949951171875,1084.0,1093.989990234375,1093.989990234375,19955000
2022-03-31,1094.5699462890625,1103.1400146484375,1076.6400146484375,1077.5999755859375,1077.5999755859375,16330900
2022-04-01,1081.1500244140625,1094.75,1066.6400146484375,1084.5899658203125,1084.5899658203125,18012900
2022-04-04,1089.3800048828125,1149.9100341796875,1072.530029296875,1145.449951171875,1145.449951171875,27345300
2022-04-05,1136.300048828125,1152.8699951171875,1087.300048828125,1091.260009765625,1091.260009765625,26691700
2022-04-06,1073.469970703125,1079.0,1027.699951171875,1045.760009765625,1045.760009765625,29782800
2022-04-07,1052.3900146484375,1076.5899658203125,1021.5399780273438,1057.260009765625,1057.260009765625,26482400
2022-04-08,1043.2099609375,1048.43994140625,1022.4400024414062,1025.489990234375,1025.489990234375,18293300
2022-04-11,980.4000244140625,1008.469970703125,974.6400146484375,975.9299926757812,975.9299926757812,19785700
2022-04-12,997.6400146484375,1021.1900024414062,976.5999755859375,986.9500122070312,986.9500122070312,21992000
2022-04-13,981.0800170898438,1026.239990234375,973.0999755859375,1022.3699951171875,1022.3699951171875,18373700
2022-04-14,999.2899780273438,1012.7100219726562,982.1900024414062,985.0,985.0,19444000
2022-04-18,989.030029296875,1014.9199829101562,973.4099731445312,1004.2899780273438,1004.2899780273438,17238400
2022-04-19,1005.0599975585938,1034.93994140625,995.3300170898438,1028.1500244140625,1028.1500244140625,16615900
2022-04-20,1030.0,1034.0,975.25,977.2000122070312,977.2000122070312,23570400
2022-04-21,1074.72998046875,1092.219970703125,996.4199829101562,1008.780029296875,1008.780029296875,35138800
2022-04-22,1014.9099731445312,1034.8499755859375,994.0,1005.0499877929688,1005.0499877929688,23181600
2022-04-25,978.969970703125,1008.6199951171875,975.2999877929688,998.02001953125,998.02001953125,22440804
